DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/01/25 16:37:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,AÇU,Caatinga,6.0,0.0,0.52,-5.4697,-37.09765,12.3
2024/01/25 16:37:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,AÇU,Caatinga,7.0,0.0,0.53,-5.46836,-37.0885,34.3
2024/01/27 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MAXARANGUAPE,Mata Atlântica,-999.0,0.32,1.0,-5.44983,-35.39582,27.3
2024/01/27 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SANTA MARIA,Caatinga,2.0,1.83,0.95,-5.72929,-35.68163,13.2
2024/01/27 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRINHA,Caatinga,4.0,2.93,0.9,-6.29713,-35.59228,6.8
2024/01/27 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga,2.0,0.49,0.85,-5.74055,-35.56423,11.0
2024/01/03 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CAICÓ,Caatinga,2.0,0.0,0.14,-6.38071,-37.05172,27.3
2024/01/06 16:37:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,GOVERNADOR DIX-SEPT ROSADO,Caatinga,5.0,0.0,0.15,-5.38585,-37.34243,7.1
2023/12/09 16:54:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARCELINO VIEIRA,Caatinga,0.0,0.0,1.0,-6.34376,-38.15857,48.1
2023/12/09 16:54:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ÁGUA NOVA,Caatinga,11.0,0.0,1.0,-6.21997,-38.31917,31.6
2023/12/09 16:54:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ÁGUA NOVA,Caatinga,11.0,0.0,1.0,-6.21758,-38.31274,24.3
2024/01/30 16:47:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,0.88,-5.00801,-37.47122,45.4
2024/01/30 16:47:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ENCANTO,Caatinga,4.0,0.0,0.65,-6.15697,-38.35724,19.5
2024/01/30 16:47:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,0.88,-5.00969,-37.48266,23.6
2024/01/30 16:47:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,0.88,-5.00915,-37.47596,94.0
2023/12/04 16:43:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PAU DOS FERROS,Caatinga,6.0,0.0,1.0,-6.09569,-38.2507,23.9
2023/12/04 16:43:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,0.0,0.0,0.9,-5.26272,-36.88351,64.4
